Subject,ACC,RT,Difficulty,Condition
334,1,2441,Simple,Addition
334,1,2875,Simple,Addition
334,1,3332,Simple,Addition
334,1,2443,Simple,Addition
334,1,2309,Simple,Addition
334,1,2214,Simple,Addition
334,1,1679,Simple,Addition
334,1,1822,Simple,Addition
334,0,0,Complex,Addition
334,1,4375,Complex,Addition
334,1,2801,Complex,Addition
334,1,2232,Complex,Addition
334,1,3116,Complex,Addition
334,1,3153,Complex,Addition
334,1,4198,Complex,Addition
334,1,2676,Complex,Addition
334,1,2232,Complex,Addition
334,1,1964,Simple,Addition
334,1,2932,Simple,Addition
334,1,3248,Simple,Addition
334,1,3110,Simple,Addition
334,1,3780,Complex,Addition
334,0,0,Complex,Addition
334,0,3112,Complex,Addition
334,0,3205,Complex,Addition
334,1,4948,Complex,Addition
334,1,2028,Simple,Addition
334,1,2938,Simple,Addition
334,1,1879,Simple,Addition
334,1,1586,Simple,Addition
334,1,1362,Simple,Addition
339,0,3670,Complex,Addition
339,0,0,Complex,Addition
339,1,3897,Complex,Addition
339,1,3281,Complex,Addition
339,0,0,Simple,Addition
339,1,2415,Simple,Addition
339,1,2098,Simple,Addition
339,1,2099,Simple,Addition
339,1,4379,Simple,Addition
339,1,4632,Simple,Addition
339,1,1548,Simple,Addition
339,1,2479,Simple,Addition
339,1,2435,Simple,Addition
339,0,0,Complex,Addition
339,1,3185,Complex,Addition
339,0,0,Complex,Addition
339,0,1479,Complex,Addition
339,0,0,Complex,Addition
339,1,3354,Simple,Addition
339,1,2884,Simple,Addition
339,1,2036,Simple,Addition
339,0,0,Simple,Addition
339,1,4109,Complex,Addition
339,1,4614,Complex,Addition
339,0,0,Complex,Addition
339,0,3064,Complex,Addition
339,1,4485,Simple,Addition
339,1,2564,Simple,Addition
339,1,2033,Simple,Addition
339,1,1849,Simple,Addition
339,1,2491,Simple,Addition
339,0,3776,Complex,Addition
339,0,1369,Complex,Addition
339,0,3827,Complex,Addition
339,0,3735,Complex,Addition
339,1,1763,Complex,Addition
340,0,0,Complex,Addition
340,0,0,Complex,Addition
340,1,248,Complex,Addition
340,1,1307,Complex,Addition
340,1,3847,Complex,Addition
340,0,0,Simple,Addition
340,1,98,Simple,Addition
340,1,4118,Simple,Addition
340,0,0,Simple,Addition
340,0,0,Simple,Addition
340,1,3344,Complex,Addition
340,0,0,Complex,Addition
340,1,4184,Complex,Addition
340,0,0,Complex,Addition
340,1,2471,Complex,Addition
340,0,3006,Simple,Addition
340,0,124,Simple,Addition
340,0,0,Simple,Addition
340,0,0,Simple,Addition
340,1,2705,Simple,Addition
340,0,0,Complex,Addition
340,1,1925,Complex,Addition
340,0,0,Complex,Addition
340,0,0,Complex,Addition
340,1,2309,Simple,Addition
340,1,2986,Simple,Addition
340,0,0,Simple,Addition
340,0,4689,Simple,Addition
340,0,0,Complex,Addition
340,1,3403,Complex,Addition
340,1,2468,Complex,Addition
340,1,4198,Complex,Addition
340,0,0,Simple,Addition
340,0,325,Simple,Addition
340,0,0,Simple,Addition
340,1,2133,Simple,Addition
346,1,4506,Complex,Addition
346,0,4743,Complex,Addition
346,1,4899,Complex,Addition
346,0,0,Complex,Addition
346,1,3694,Simple,Addition
346,1,2925,Simple,Addition
346,1,3589,Simple,Addition
346,1,3301,Simple,Addition
346,1,2578,Simple,Addition
346,1,2443,Simple,Addition
346,1,2414,Simple,Addition
346,1,3155,Simple,Addition
346,0,1394,Complex,Addition
346,0,0,Complex,Addition
346,0,592,Complex,Addition
