,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(Add.TD).62,0.63474889051746697,0.10395060768419109,0.43257929668157791,0.5655454770059658,0.63460244897965623,0.70453632599391025,0.84166217908235152,0.0019033583860168662
v_subj(Add.TD).105,0.91065064313709609,0.14187125673319928,0.63759331786802942,0.81314206751579166,0.90942912485428917,1.0075483674597623,1.1875035509226812,0.0026691667957466246
v_subj(Add.TD).203,0.7562966427883957,0.14047061475582309,0.47726694073397624,0.66231987581613261,0.75825212555095023,0.84807454124601322,1.0328196724313974,0.0022648973144962724
v_subj(Add.TD).204,1.3523694558314587,0.18767243647326867,0.99162336413679231,1.2258839459424278,1.3511158494643414,1.4743493730801116,1.7340841526578621,0.0052576768751714043
v_subj(Add.TD).208,0.69210874145191292,0.12566713793040379,0.44373783803596362,0.60776017027765961,0.6911545709135708,0.7764950488243757,0.93672599603458528,0.0024516093136046978
v_subj(Add.TD).224,1.0084304205794026,0.16320174870198573,0.69593854445547054,0.89747169096764812,1.005607112192189,1.1201815367870549,1.3257495513580593,0.0028772649824936949
v_subj(Add.TD).227,0.42961875208718214,0.10045788606432789,0.23942349216285563,0.362725899055238,0.42802213413822032,0.49491307415871183,0.62885259999293963,0.001639347179878815
v_subj(Add.TD).238,0.48742551210593016,0.099985618474442234,0.28667036084270892,0.42103331588073184,0.48754637291748404,0.55514805421615798,0.68331814932633783,0.0017243386142102093
v_subj(Add.TD).242,1.1257008017034915,0.15294440914880886,0.83683577498866146,1.0209046058732563,1.1261359129593718,1.229574081244728,1.4271506259835891,0.00363830699469173
v_subj(Add.TD).244,1.2214933897029245,0.17132468075162624,0.88954533670667657,1.105308539202873,1.2189476903778456,1.339890264748463,1.55918990776893,0.0038648873606631643
v_subj(Add.TD).274,0.5187014299937257,0.10457591882397238,0.31707943073310407,0.447496260978685,0.51895431837693762,0.58888292502657369,0.722738897110903,0.0016035443393820348
v_subj(Add.TD).305,0.82276918942157529,0.14476810421660019,0.53402339766868689,0.72710762068749168,0.82113288628870906,0.92110586108885761,1.1123268914429918,0.0024815987188891017
v_subj(Add.TD).317,1.1709540559922202,0.16174680449541851,0.86270436649630955,1.0633780146234686,1.1694773737083592,1.2752203575214403,1.5038929296636541,0.0038080908821869707
v_subj(Add.TD).358,0.63292355180027415,0.13386681714866883,0.36207814251318038,0.54333838315593885,0.63552126368009121,0.72237278934379423,0.89252644225625799,0.0022002589556034411
v_subj(Add.TD).465,1.3560400211029262,0.18243952946981148,1.019895454570894,1.2323223699858465,1.3486246832176025,1.477388201610274,1.7309001183886179,0.0047986522457632661
v_subj(Control.MD).39,1.3994263956992143,0.18418348541997565,1.0458082818909051,1.2771870648571282,1.3955356321067598,1.5213659891574809,1.7731521213566399,0.0044675482843278321
v_subj(Control.MD).214,0.33103327151914491,0.12314830001246223,0.096137013383899239,0.24712668588877584,0.32906570218087028,0.41082934599283832,0.57207530487941993,0.0017812981405112901
v_subj(Control.MD).218,1.1500678856506998,0.15611407106072858,0.84750156878834448,1.0450177232211597,1.1490582868273842,1.2537064760206513,1.4529697806188682,0.0034032325898168347
v_subj(Control.MD).236,1.2955999105948592,0.18435565217080155,0.94412488019808327,1.1668999580949395,1.2923873302209636,1.4219833555406438,1.6608222516216564,0.0044505779996274327
v_subj(Control.MD).258,1.3711788662352546,0.17501240474704785,1.0347179865872405,1.2544477230965621,1.3667087052168152,1.4863527085792501,1.7199853474541851,0.0044894800655623807
v_subj(Control.MD).262,1.114809473699071,0.16094708208928135,0.80567124713529137,1.0069510390346483,1.1131674885669003,1.2262609276059533,1.4389411246995913,0.0034681018714286501
v_subj(Control.MD).267,0.99561439723723399,0.13816146616956249,0.72305119743571966,0.9040432767530896,0.99377682875673123,1.0873675514979801,1.2640109157441981,0.0029157129242486845
v_subj(Control.MD).269,0.96037211752539609,0.13851918358074591,0.69361195277572629,0.86705644388349146,0.95923431593972275,1.0537901503065723,1.2345150334798003,0.0027980604966662604
v_subj(Control.MD).293,0.87548494221841189,0.13431741454130317,0.61497894131582798,0.78555552964884767,0.87411050518787892,0.96444757610803022,1.1471355927738101,0.0025280057888800145
v_subj(Control.MD).320,0.98570171814056573,0.18156823991721921,0.63413000561325472,0.86199756338119282,0.98356606213126363,1.1107571704551082,1.3381316482335619,0.0034304190478890014
v_subj(Control.MD).339,1.3150044380543642,0.17455000904521256,0.96719007799113255,1.1985707804012273,1.3136727693174914,1.4312041675839824,1.656887087944336,0.0036421554643733256
v_subj(Control.MD).340,0.7709410024978991,0.14310561316211368,0.49125307760362513,0.67318033948912759,0.76963568445113939,0.86688960158182793,1.0567540206357164,0.0022959163741661992
v_subj(Control.MD).346,1.2837979961895947,0.1672066139221281,0.96297150161810496,1.1689153501071572,1.2786644854175231,1.3941527624671548,1.6239117269967602,0.0033068978162112185
v_subj(Control.MD).350,1.2822711989324036,0.16873057575496964,0.94388955792589035,1.1707603314650723,1.2830894201178806,1.3970756456049842,1.6102412478822097,0.0044672052155829813
v_subj(Control.MD).471,1.2796443277112681,0.16529725230837219,0.95396263278665339,1.1677761098183097,1.2750390403206544,1.3912364888993189,1.6142844050825418,0.0041578461776178178
v_subj(Control.TD).6,0.72416959404691561,0.13023802175916585,0.47428826450179162,0.63619890802896639,0.72406534092183983,0.81587828323854661,0.98087317112147687,0.0020768291792638959
v_subj(Control.TD).19,1.4871396282664946,0.19359995152155107,1.1075213317866321,1.3580117961652678,1.4859730462473524,1.6119246874845836,1.8737268694925902,0.0040688911338057692
v_subj(Control.TD).23,1.3533173886013228,0.1721790329870089,1.0220913383047385,1.2347123137961382,1.3517505554682943,1.464234664041641,1.7001918618268188,0.0044046565786491068
