user_id,ACC,RT,answer,finished,n1,n2,points,problem,problem_id,solution,trial,session,exp_id,row_num
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.752,no_answer,0,2,7,3,2 + ? = 9,4,9,44,1476988923515,SP_missing_timed,259
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.491,7,0,2,7,4,2 + ? = 9,4,9,45,1476988923515,SP_missing_timed,260
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.553,no_answer,0,8,9,3,8 + ? = 17,12,17,46,1476988923515,SP_missing_timed,261
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.223,7,0,6,7,1,6 + ? = 13,9,13,52,1476988923515,SP_missing_timed,267
j15QeTGRQhThgAiuF84rPtnlk8c2,1,7.994,7,0,6,7,1,6 + ? = 13,9,13,1,1476988018447,SP_missing,270
j15QeTGRQhThgAiuF84rPtnlk8c2,1,10.177,9,0,3,9,2,3 + ? = 12,7,12,2,1476988018447,SP_missing,271
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.284,8,0,2,8,4,2 + ? = 10,5,10,3,1476988018447,SP_missing,272
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.881,4,0,3,4,5,3 + ? = 7,2,7,4,1476988018447,SP_missing,273
j15QeTGRQhThgAiuF84rPtnlk8c2,1,13.459,8,0,7,8,6,7 + ? = 15,11,15,5,1476988018447,SP_missing,274
j15QeTGRQhThgAiuF84rPtnlk8c2,1,10.08,7,0,2,7,7,2 + ? = 9,4,9,6,1476988018447,SP_missing,275
j15QeTGRQhThgAiuF84rPtnlk8c2,0,8.13,6,0,5,9,5,5 + ? = 14,10,14,8,1476988018447,SP_missing,277
j15QeTGRQhThgAiuF84rPtnlk8c2,0,4.954,7,0,5,9,4,5 + ? = 14,10,14,9,1476988018447,SP_missing,278
j15QeTGRQhThgAiuF84rPtnlk8c2,1,11.178,8,0,4,8,5,4 + ? = 12,8,12,10,1476988018447,SP_missing,279
j15QeTGRQhThgAiuF84rPtnlk8c2,1,26.104,9,0,8,9,6,8 + ? = 17,12,17,11,1476988018447,SP_missing,280
j15QeTGRQhThgAiuF84rPtnlk8c2,0,10.377,8,0,3,5,5,3 + ? = 8,3,8,12,1476988018447,SP_missing,281
j15QeTGRQhThgAiuF84rPtnlk8c2,1,7.313,5,0,3,5,6,3 + ? = 8,3,8,13,1476988018447,SP_missing,282
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.43,6,0,4,6,7,4 + ? = 10,6,10,14,1476988018447,SP_missing,283
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.258,3,0,2,3,8,2 + ? = 5,1,5,15,1476988018447,SP_missing,284
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.996,6,0,4,6,10,4 + ? = 10,6,10,16,1476988018447,SP_missing,285
j15QeTGRQhThgAiuF84rPtnlk8c2,1,10.223,9,0,8,9,12,8 + ? = 17,12,17,18,1476988018447,SP_missing,287
j15QeTGRQhThgAiuF84rPtnlk8c2,1,17.661,4,0,3,4,13,3 + ? = 7,2,7,19,1476988018447,SP_missing,288
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.994,3,0,2,3,16,2 + ? = 5,1,5,21,1476988018447,SP_missing,290
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.319,8,0,7,8,18,7 + ? = 15,11,15,23,1476988018447,SP_missing,292
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.746,8,0,2,8,19,2 + ? = 10,5,10,24,1476988018447,SP_missing,293
j15QeTGRQhThgAiuF84rPtnlk8c2,1,7.843,9,0,5,9,21,5 + ? = 14,10,14,26,1476988018447,SP_missing,295
j15QeTGRQhThgAiuF84rPtnlk8c2,1,11.383,5,0,3,5,22,3 + ? = 8,3,8,27,1476988018447,SP_missing,296
j15QeTGRQhThgAiuF84rPtnlk8c2,1,6.696,9,1,5,9,24,5 + ? = 14,10,14,28,1476988018447,SP_missing,297
x4HDej79ZyfzizeuCoUtMXhJVL12,1,2.003,0,1,5,4,27,5 + 4 = 9,5,9,25,1476988291649,SP_verification_timed,322
x4HDej79ZyfzizeuCoUtMXhJVL12,0,2.03,1,0,5,4,0,5 + 4 = 9,5,9,1,1476987928578,SP_verification,426
x4HDej79ZyfzizeuCoUtMXhJVL12,0,3.234,1,0,7,3,0,7 + 3 = 10,6,10,2,1476987928578,SP_verification,427
x4HDej79ZyfzizeuCoUtMXhJVL12,0,1.262,0,0,9,4,0,9 + 4 = 11,8,13,3,1476987928578,SP_verification,428
x4HDej79ZyfzizeuCoUtMXhJVL12,1,2.451,1,0,4,2,3,4 + 2 = 9,1,6,6,1476987928578,SP_verification,431
x4HDej79ZyfzizeuCoUtMXhJVL12,1,2.2,0,0,9,6,7,9 + 6 = 15,11,15,9,1476987928578,SP_verification,434
x4HDej79ZyfzizeuCoUtMXhJVL12,1,1.519,1,0,6,2,8,6 + 2 = 9,3,8,10,1476987928578,SP_verification,435
x4HDej79ZyfzizeuCoUtMXhJVL12,1,1.649,0,0,8,5,16,8 + 5 = 13,9,13,17,1476987928578,SP_verification,442
